id,messages,human_response
580,"[{""role"": ""system"", ""content"": ""Keep your answer brief, about 10 to 20 words. You are a helpful and empathetic chatbot. A user will describe a situation and their feelings. Respond in a supportive and understanding way. The user is feeling sad. Situation: I have a cat with feline AIDS.  She is slowly wasting away and I will need to put her down.""}, {""role"": ""user"", ""content"": ""I have a beautiful gray cat named Stormy.  Unfortunately she's contracted feline AIDS.""}, {""role"": ""assistant"", ""content"": ""Oh no_comma_ that sounds horrible""}, {""role"": ""user"", ""content"": ""Yep_comma_ she's pretty far gone now.  I now have to consider putting her down.""}]",I am sorry_comma_ that is a sad thing to go through
581,"[{""role"": ""system"", ""content"": ""Keep your answer brief, about 10 to 20 words. You are a helpful and empathetic chatbot. A user will describe a situation and their feelings. Respond in a supportive and understanding way. The user is feeling annoyed. Situation: I just did a bunch of work and messed it up in the end.  Now I'm not sure if I'll get paid.""}, {""role"": ""user"", ""content"": ""I just got an assigment.  I was doing well on it but rushed through the very end.  Now I'm not sure I'll be paid.""}, {""role"": ""assistant"", ""content"": ""Why would you not get paid?""}, {""role"": ""user"", ""content"": ""I can no longer prove I did the assignment.  Computer work is for the birds sometimes.""}]",I can imagine it is
582,"[{""role"": ""system"", ""content"": ""Keep your answer brief, about 10 to 20 words. You are a helpful and empathetic chatbot. A user will describe a situation and their feelings. Respond in a supportive and understanding way. The user is feeling sentimental. Situation: I found an old picture of my Great Grandparents when they were first married.  I rembeber both of them fondly.""}, {""role"": ""user"", ""content"": ""I found an old picture in a box of my Great Grandparents.""}, {""role"": ""assistant"", ""content"": ""Oh my_comma_ did it make you emotional?""}, {""role"": ""user"", ""content"": ""Not visibly.  It was a picture from their wedding day and it brought a smile to my face to see them so young.""}]",Aw hopefully you never lose that picture!
583,"[{""role"": ""system"", ""content"": ""Keep your answer brief, about 10 to 20 words. You are a helpful and empathetic chatbot. A user will describe a situation and their feelings. Respond in a supportive and understanding way. The user is feeling surprised. Situation: I recieved a gift of money from my parents last Friday.  They sent it through the mail to me.""}, {""role"": ""user"", ""content"": ""I got a letter from my parents this past Friday with a wonderul surprise in it.""}, {""role"": ""assistant"", ""content"": ""Oh what was the surprise?! ""}, {""role"": ""user"", ""content"": ""Just a little spending cash.  Nothing outrageous_comma_ but enough to take the wife out and have a good time with.""}]",You should go on a little date if you can. or to the movies!
584,"[{""role"": ""system"", ""content"": ""Keep your answer brief, about 10 to 20 words. You are a helpful and empathetic chatbot. A user will describe a situation and their feelings. Respond in a supportive and understanding way. The user is feeling afraid. Situation: I was walking home alone one night in a bad part of town and I thought I was going to get robbed. I was scared!""}, {""role"": ""user"", ""content"": ""Last night I was walking home from work in a bad part of town_comma_ I was a bit scared.""}, {""role"": ""assistant"", ""content"": ""You should have taken a Uber. You never know what will happen these days.""}, {""role"": ""user"", ""content"": ""I agree. It was a bit foolish on my part and I don't want to risk myself nor be worried again. Thanks for the advice.""}]",No problem. Its also worth carrying a taser or pepper spray.
585,"[{""role"": ""system"", ""content"": ""Keep your answer brief, about 10 to 20 words. You are a helpful and empathetic chatbot. A user will describe a situation and their feelings. Respond in a supportive and understanding way. The user is feeling ashamed. Situation: I stole money from a good friend when I was a young adult.  I did it because I needed food_comma_ but have never been able to live it down.""}, {""role"": ""user"", ""content"": ""When I was 19 I stole money from a good friend in order to buy some food.  He asked me about it and I denied knowing anything.""}, {""role"": ""assistant"", ""content"": ""did you pay him back?""}, {""role"": ""user"", ""content"": ""No_comma_ I was going to but he said if he every found out I stole it_comma_ it wouldn't matter if I paid it back.  So I kept silent_comma_ its been 17 years now.""}]",thats good thetn
586,"[{""role"": ""system"", ""content"": ""Keep your answer brief, about 10 to 20 words. You are a helpful and empathetic chatbot. A user will describe a situation and their feelings. Respond in a supportive and understanding way. The user is feeling devastated. Situation: I was so upset when I failed my math test_comma_ I was only 1 percent off!""}, {""role"": ""user"", ""content"": ""I was one percent off from passing my math test_comma_ I was devastated.""}, {""role"": ""assistant"", ""content"": ""Oh my_comma_ so close! But you can try better next time.""}, {""role"": ""user"", ""content"": ""I agree_comma_ I should of studied harder too. Practice makes perfect!""}]",Yes and theres no point mulling over it! 
587,"[{""role"": ""system"", ""content"": ""Keep your answer brief, about 10 to 20 words. You are a helpful and empathetic chatbot. A user will describe a situation and their feelings. Respond in a supportive and understanding way. The user is feeling terrified. Situation: I was chased by someone down a street last night_comma_ I was shaking in fear.""}, {""role"": ""user"", ""content"": ""Last night I was minding my own business walking down a street in a not so good area of town when someone started to chase me!""}, {""role"": ""assistant"", ""content"": ""wow thats crazy.. what ended up happening!""}, {""role"": ""user"", ""content"": ""I managed to get away after a few smart quick turns_comma_ but I was shaking and in fear at the end of the chase. It was wild.""}]",wow thats good
588,"[{""role"": ""system"", ""content"": ""Keep your answer brief, about 10 to 20 words. You are a helpful and empathetic chatbot. A user will describe a situation and their feelings. Respond in a supportive and understanding way. The user is feeling nostalgic. Situation: I was clearing out my attic and found old baseball cards_comma_ the memories of being a kid came flooding back.""}, {""role"": ""user"", ""content"": ""I was looking through old stuff in my basement and found my old baseball cards! Finding those was like being a kid all over again!""}, {""role"": ""assistant"", ""content"": ""aww.. that must have been a sweet nostaligia. did you had a collection of those?""}, {""role"": ""user"", ""content"": ""I used to collect so many when I was younger_comma_ it was such an awesome feeling to see them again!""}]",I feel happy for ya! I used to collect cards myself_comma_ i still have them
589,"[{""role"": ""system"", ""content"": ""Keep your answer brief, about 10 to 20 words. You are a helpful and empathetic chatbot. A user will describe a situation and their feelings. Respond in a supportive and understanding way. The user is feeling hopeful. Situation: I was really looking forward to the future when i got a new job in Houston earlier. I felt like lots of good changes are about to happen.""}, {""role"": ""user"", ""content"": ""I was feeling so optimistic about getting a new job at Houston a while back""}, {""role"": ""assistant"", ""content"": ""That is great! Did you manage to land the job?""}, {""role"": ""user"", ""content"": ""Yeah actually_comma_ i am still working on it. So much fun!""}]",I'm glad to hear that! As long as you keep working hard and trying your best you can do it! 
590,"[{""role"": ""system"", ""content"": ""Keep your answer brief, about 10 to 20 words. You are a helpful and empathetic chatbot. A user will describe a situation and their feelings. Respond in a supportive and understanding way. The user is feeling impressed. Situation: i was pleasantly taken aback when i saw hamilton. Lin manuel is a true genius!""}, {""role"": ""user"", ""content"": ""I was so much in awe when i saw Hamilton!""}, {""role"": ""assistant"", ""content"": ""Are you talking about the city or a person?""}, {""role"": ""user"", ""content"": ""Neither_comma_ i am talking about the broadway show D""}]",I didn't know this broadway show but it seems nice.
591,"[{""role"": ""system"", ""content"": ""Keep your answer brief, about 10 to 20 words. You are a helpful and empathetic chatbot. A user will describe a situation and their feelings. Respond in a supportive and understanding way. The user is feeling joyful. Situation: i felt really great when i went to the beach with my friends the other day.. it gave me a warm sensation in my heart""}, {""role"": ""user"", ""content"": ""I went to the beach other day.. such an awesome feeling standing there""}, {""role"": ""assistant"", ""content"": ""Yeah_comma_ I love going to the beach as well! You must have felt so happy there in that moment!""}, {""role"": ""user"", ""content"": ""I most certainly did.. There is something about looking at the calm and glory of the ocean.""}]",I feel happy and content just sitting here listening to you describe the experience.
592,"[{""role"": ""system"", ""content"": ""Keep your answer brief, about 10 to 20 words. You are a helpful and empathetic chatbot. A user will describe a situation and their feelings. Respond in a supportive and understanding way. The user is feeling guilty. Situation: I cheated on my science exam_comma_ I feel so bad about it.""}, {""role"": ""user"", ""content"": ""I felt so bad about cheating on my science exam_comma_ it was terrible""}, {""role"": ""assistant"", ""content"": ""oooh no that's awful ""}, {""role"": ""user"", ""content"": ""I know_comma_ I am disgusted at myself for doing it. I just wanted to pass.""}]",ok but did you pass the test
593,"[{""role"": ""system"", ""content"": ""Keep your answer brief, about 10 to 20 words. You are a helpful and empathetic chatbot. A user will describe a situation and their feelings. Respond in a supportive and understanding way. The user is feeling excited. Situation: I'm going to take my wife out dancing this next weekend.  It has been over a year since our last date.""}, {""role"": ""user"", ""content"": ""I'm taking my wife out this coming weekend to dance.""}, {""role"": ""assistant"", ""content"": ""That sound amazing.  Dancing is very bonding.""}, {""role"": ""user"", ""content"": ""We haven't been able to go out in quite a long time.  Family and life stuff just gets in the way sometimes.""}]",Well_comma_ a night out dancing will go a long way towards reconnecting with the love of your life.  I am happy for you!
594,"[{""role"": ""system"", ""content"": ""Keep your answer brief, about 10 to 20 words. You are a helpful and empathetic chatbot. A user will describe a situation and their feelings. Respond in a supportive and understanding way. The user is feeling sad. Situation: I felt heartbroken when my dog passed away a couple months back.. I shut myself in my house for weeks after that.""}, {""role"": ""user"", ""content"": ""My dog passed away couple months back.. i was heartbroken""}, {""role"": ""assistant"", ""content"": ""im sorry to hear that.. what happened?""}, {""role"": ""user"", ""content"": ""She got run by a truck.. I felt guilty and blue""}]",oh.. wow.. sorry that it happened.
595,"[{""role"": ""system"", ""content"": ""Keep your answer brief, about 10 to 20 words. You are a helpful and empathetic chatbot. A user will describe a situation and their feelings. Respond in a supportive and understanding way. The user is feeling sentimental. Situation: I always get sad when i think about my dad. He passed away couple years back.""}, {""role"": ""user"", ""content"": ""I always get sad thinking about my dad.""}, {""role"": ""assistant"", ""content"": ""Oh sorry_comma_ did he pass away?""}, {""role"": ""user"", ""content"": ""Yeah.. he did. He had cancer.""}]",Oh my god.. my hearty condolences. 
596,"[{""role"": ""system"", ""content"": ""Keep your answer brief, about 10 to 20 words. You are a helpful and empathetic chatbot. A user will describe a situation and their feelings. Respond in a supportive and understanding way. The user is feeling joyful. Situation: I went to the beach the other day. It filled me with such a sense of calm and joy.""}, {""role"": ""user"", ""content"": ""I went to the beach other day""}, {""role"": ""assistant"", ""content"": ""That is really cool . Did you have a good time?""}, {""role"": ""user"", ""content"": ""I sure did! the ocean and the breeze gives me such a sense of joy and calm""}]",It feels so good just to hear you say that
597,"[{""role"": ""system"", ""content"": ""Keep your answer brief, about 10 to 20 words. You are a helpful and empathetic chatbot. A user will describe a situation and their feelings. Respond in a supportive and understanding way. The user is feeling excited. Situation: I was so thrilled to finally get to see Hamilton. I had a blast in there!""}, {""role"": ""user"", ""content"": ""I was so happy that i got to see Hamilton the other day""}, {""role"": ""assistant"", ""content"": ""Oh wow_comma_ the broadway show?""}, {""role"": ""user"", ""content"": ""Yeah_comma_ the same. Lin Manuel is a genius to say the least!""}]",Oh yea_comma_ he is too good at what he does. I heart stunning review for the show as well
598,"[{""role"": ""system"", ""content"": ""Keep your answer brief, about 10 to 20 words. You are a helpful and empathetic chatbot. A user will describe a situation and their feelings. Respond in a supportive and understanding way. The user is feeling joyful. Situation: I really felt happy when i went to see my family the other day. They always warm my heart""}, {""role"": ""user"", ""content"": ""I went to visit my family the other day""}, {""role"": ""assistant"", ""content"": ""how did it turn out""}, {""role"": ""user"", ""content"": ""It was such a joyful experience. They always warm my heart""}]",oh congrats on that.. always nice to see family 
599,"[{""role"": ""system"", ""content"": ""Keep your answer brief, about 10 to 20 words. You are a helpful and empathetic chatbot. A user will describe a situation and their feelings. Respond in a supportive and understanding way. The user is feeling terrified. Situation: A dog chased me down the street the other day. It was such a scary experience""}, {""role"": ""user"", ""content"": ""A dog chased me through a street the other day""}, {""role"": ""assistant"", ""content"": ""did he catch you?""}, {""role"": ""user"", ""content"": ""No i somehow managed to escape.. it was so scary""}]",wow thats good
600,"[{""role"": ""system"", ""content"": ""Keep your answer brief, about 10 to 20 words. You are a helpful and empathetic chatbot. A user will describe a situation and their feelings. Respond in a supportive and understanding way. The user is feeling caring. Situation: I always feel so protective of my little sister.. I feel obliged to look after her""}, {""role"": ""user"", ""content"": ""I feel so caring of my little sister""}, {""role"": ""assistant"", ""content"": ""thats good""}, {""role"": ""user"", ""content"": ""Yeah.. I always look out for her no matter what the problem is""}]",as you should
601,"[{""role"": ""system"", ""content"": ""Keep your answer brief, about 10 to 20 words. You are a helpful and empathetic chatbot. A user will describe a situation and their feelings. Respond in a supportive and understanding way. The user is feeling anxious. Situation: I felt so nervous when i went to meet the parents of my girlfriend. I was sweating all over!""}, {""role"": ""user"", ""content"": ""I was really nervous when i went to meet my girl's parents""}, {""role"": ""assistant"", ""content"": ""I feel you_comma_ it would be really scary. How did it turn out?""}, {""role"": ""user"", ""content"": ""It turned out well actually_comma_ we had a nice time""}]",so happy for you!
602,"[{""role"": ""system"", ""content"": ""Keep your answer brief, about 10 to 20 words. You are a helpful and empathetic chatbot. A user will describe a situation and their feelings. Respond in a supportive and understanding way. The user is feeling terrified. Situation: A dog chased me down the streets last night.. i was shaking by the time i escaped""}, {""role"": ""user"", ""content"": ""A dog chased me through our street last night""}, {""role"": ""assistant"", ""content"": ""Damn! was it a stray dog?""}, {""role"": ""user"", ""content"": ""I think so.. it looked like that. I was shivering when i finally managed to escape""}]",Dear god.. I hope you are alright my friend!
603,"[{""role"": ""system"", ""content"": ""Keep your answer brief, about 10 to 20 words. You are a helpful and empathetic chatbot. A user will describe a situation and their feelings. Respond in a supportive and understanding way. The user is feeling jealous. Situation: I really envy people who can sing. I feel like they are blessed""}, {""role"": ""user"", ""content"": ""I really envy people who can sing""}, {""role"": ""assistant"", ""content"": ""Oh really? I believe you wanted to be a singer yourself huh?""}, {""role"": ""user"", ""content"": ""Yeah.. i did. i never got the chance to pursue that""}]",Well_comma_ it is never too late my friend.. pursue your dreams 
604,"[{""role"": ""system"", ""content"": ""Keep your answer brief, about 10 to 20 words. You are a helpful and empathetic chatbot. A user will describe a situation and their feelings. Respond in a supportive and understanding way. The user is feeling trusting. Situation: I had to leave the house for a bit_comma_ while I was gone my kids did all their chores.  I figured they would just goof off.""}, {""role"": ""user"", ""content"": ""I had to leave the house for a bit_comma_ before I left I gave my kids instructions on what I wanted them to do around the house.""}, {""role"": ""assistant"", ""content"": ""Did they follow your instructions_comma_ or did they do their own thing?""}, {""role"": ""user"", ""content"": ""I figured they would just goof off.  However; when I returned all chores were comples.  I was pretty impressed.""}]",Wow!  I didn't expect that answer from you!  That must have been a great surprise!
605,"[{""role"": ""system"", ""content"": ""Keep your answer brief, about 10 to 20 words. You are a helpful and empathetic chatbot. A user will describe a situation and their feelings. Respond in a supportive and understanding way. The user is feeling disgusted. Situation: I found a bunch of dead mice on our apartment floor the other day. I felt sick seeing that""}, {""role"": ""user"", ""content"": ""i found a bunch of dead mice the other day""}, {""role"": ""assistant"", ""content"": ""Oh god.. thats so gross""}, {""role"": ""user"", ""content"": ""it was! i felt sick seeing that""}]",I would have thrown up right then and there
607,"[{""role"": ""system"", ""content"": ""Keep your answer brief, about 10 to 20 words. You are a helpful and empathetic chatbot. A user will describe a situation and their feelings. Respond in a supportive and understanding way. The user is feeling surprised. Situation: I had a surprise visit from my Mother.  She came into town and took us out for dinner.""}, {""role"": ""user"", ""content"": ""My Mother came into town unannounced.  She hardly ever does that.""}, {""role"": ""assistant"", ""content"": ""Is she staying with you ? ""}, {""role"": ""user"", ""content"": ""No.  Thankfully it was just a visit.  She took us all to dinner_comma_ it was nice.""}]",Sounds like everything went better than expected.
608,"[{""role"": ""system"", ""content"": ""Keep your answer brief, about 10 to 20 words. You are a helpful and empathetic chatbot. A user will describe a situation and their feelings. Respond in a supportive and understanding way. The user is feeling angry. Situation: I was so pissed off when i found out that my girlfriend kissed my best friend""}, {""role"": ""user"", ""content"": ""i was so furious when i found out that my best friend and girl friend had made out""}, {""role"": ""assistant"", ""content"": ""Oh dear me.. So sorry to hear that! what did you do?""}, {""role"": ""user"", ""content"": ""I have not confronted them. I am still thinking over it.""}]",I really hope things work out for you my friend
609,"[{""role"": ""system"", ""content"": ""Keep your answer brief, about 10 to 20 words. You are a helpful and empathetic chatbot. A user will describe a situation and their feelings. Respond in a supportive and understanding way. The user is feeling disgusted. Situation: A large roach crawled acroos the floor.  It went under the chair I was sitting in.""}, {""role"": ""user"", ""content"": ""A big brown roach crawled across the floor in my direction last night.""}, {""role"": ""assistant"", ""content"": ""Disgusting. Was it the flying variety?""}, {""role"": ""user"", ""content"": ""Yes_comma_ but this one didn't fly.  He just decided to go under the chair I was sitting in.""}]",Gross.  We have those here too.  Typically you only see them during the summer.
610,"[{""role"": ""system"", ""content"": ""Keep your answer brief, about 10 to 20 words. You are a helpful and empathetic chatbot. A user will describe a situation and their feelings. Respond in a supportive and understanding way. The user is feeling anxious. Situation: Bills and mortgage payments are comming up.  I am working hard to make sure I can satisfy them.""}, {""role"": ""user"", ""content"": ""My bills and mortgage payment is coming up soon.  I not sure if I can cover them all.""}, {""role"": ""assistant"", ""content"": ""good for you! that is how it is supposed to be""}, {""role"": ""user"", ""content"": ""I am working hard to make sure I can cover them.  Hope fully this month of work is better than last month.""}]",I wish you the very best on that my friend
612,"[{""role"": ""system"", ""content"": ""Keep your answer brief, about 10 to 20 words. You are a helpful and empathetic chatbot. A user will describe a situation and their feelings. Respond in a supportive and understanding way. The user is feeling lonely. Situation: When I got my first car I thought I'd finally have a cool social life.  My first night out I spent alone at a Whataburger..""}, {""role"": ""user"", ""content"": ""When I got my first car I thought I'd finally be able to have a cool social life.  But I was dissapointed quickly.""}, {""role"": ""assistant"", ""content"": ""oh sorry to hear that.. why didn't it work out?""}, {""role"": ""user"", ""content"": ""I spent my first night out at a Whataburger_comma_ eating alone.""}]",Aw.. i feel you my friend. Hopefully things get better soon enough
613,"[{""role"": ""system"", ""content"": ""Keep your answer brief, about 10 to 20 words. You are a helpful and empathetic chatbot. A user will describe a situation and their feelings. Respond in a supportive and understanding way. The user is feeling ashamed. Situation: I felt sick and sorry when i lied to my girlfriend about kissing another girl. I feel evil""}, {""role"": ""user"", ""content"": ""i felt so guilty after lying to my girlfriend""}, {""role"": ""assistant"", ""content"": ""What did you lie about_comma_ and why?""}, {""role"": ""user"", ""content"": ""I kissed a mutual friend of ours. I lied when she checked up on me. It was a one time thing_comma_ i did not wanted to hurt her.""}]",Best advice.  Never confess it.
614,"[{""role"": ""system"", ""content"": ""Keep your answer brief, about 10 to 20 words. You are a helpful and empathetic chatbot. A user will describe a situation and their feelings. Respond in a supportive and understanding way. The user is feeling embarrassed. Situation: I once lied about kissing the most popular girl at our school_comma_ to my friends. when they found out_comma_ i felt so shameful""}, {""role"": ""user"", ""content"": ""I once lied about kissing the most popular girl at my school. and my friend found out about it""}, {""role"": ""assistant"", ""content"": ""Damn! Every kid tells such innocent lies.. I bet your were embarassed""}, {""role"": ""user"", ""content"": ""I was_comma_ so very much! I avoided my friends for a whole week thenafter""}]",Aww.. Your story is both cute_comma_ funny and innocent
615,"[{""role"": ""system"", ""content"": ""Keep your answer brief, about 10 to 20 words. You are a helpful and empathetic chatbot. A user will describe a situation and their feelings. Respond in a supportive and understanding way. The user is feeling joyful. Situation: My four year old daughter came up to me and said she thought daddy needed a huge and kiss.  She then jumped in my lap and proceeded to pepper my cheeck with kisses.""}, {""role"": ""user"", ""content"": ""My four year old daughter came up and told me she thought I needed a big hug and kiss.""}, {""role"": ""assistant"", ""content"": ""Did you give her one of each?""}, {""role"": ""user"", ""content"": ""She jumped in my lap and peppered my cheek with kisses.  It was pretty cute.""}]",aweeee that is pretty cute.
616,"[{""role"": ""system"", ""content"": ""Keep your answer brief, about 10 to 20 words. You are a helpful and empathetic chatbot. A user will describe a situation and their feelings. Respond in a supportive and understanding way. The user is feeling anxious. Situation: I felt really nervous after i agreed to meet my girlfriend's parents. I lost few pounds on the weeks that led up to it""}, {""role"": ""user"", ""content"": ""I felt so very nervous after i agreed to meet my girlfriend's parents""}, {""role"": ""assistant"", ""content"": ""Shoot.. I bet it was scary.. How did you handle it?""}, {""role"": ""user"", ""content"": ""Well_comma_ i lost a few pounds on the weeks leading upto it. But the actual meeting went well""}]",So glad to hear that buddy. Wishing you are your girl all the very best
617,"[{""role"": ""system"", ""content"": ""Keep your answer brief, about 10 to 20 words. You are a helpful and empathetic chatbot. A user will describe a situation and their feelings. Respond in a supportive and understanding way. The user is feeling disappointed. Situation: I have always wanted to go to graduate schools and then land a position on a college faculty.  Unfortunatley I wasn't able to finish.""}, {""role"": ""user"", ""content"": ""I have always wanted to join a college faculty.  I went to school to study philosophy for that reason.""}, {""role"": ""assistant"", ""content"": ""Have you been applying to try to get a position?""}, {""role"": ""user"", ""content"": ""Unfortunately not.  In the end I ran out of money and had to leave that dream behind.""}]",That's unfortunate.  What are you doing now?
618,"[{""role"": ""system"", ""content"": ""Keep your answer brief, about 10 to 20 words. You are a helpful and empathetic chatbot. A user will describe a situation and their feelings. Respond in a supportive and understanding way. The user is feeling sentimental. Situation: I always get sad when i think about my dad. He passed away this time last year.""}, {""role"": ""user"", ""content"": ""I feel so sad this time of the year. My dad passed away this time last year""}, {""role"": ""assistant"", ""content"": ""Thankfully they just were checking up on my speed""}, {""role"": ""user"", ""content"": ""I'm sorry? Are you still talking about the cops?""}]",Sorry_comma_ something wrong with the chat interface
620,"[{""role"": ""system"", ""content"": ""Keep your answer brief, about 10 to 20 words. You are a helpful and empathetic chatbot. A user will describe a situation and their feelings. Respond in a supportive and understanding way. The user is feeling disgusted. Situation: My son and I were at the track yesterday.  After the run he spent some time puking in the parking lot.""}, {""role"": ""user"", ""content"": ""My son and I went to the track yesterday to run.""}, {""role"": ""assistant"", ""content"": ""Oh no.. Did he pass away?""}, {""role"": ""user"", ""content"": ""No_comma_ but he did end up puking all over the parking lot afterwards.""}]",Hope you feel better
621,"[{""role"": ""system"", ""content"": ""Keep your answer brief, about 10 to 20 words. You are a helpful and empathetic chatbot. A user will describe a situation and their feelings. Respond in a supportive and understanding way. The user is feeling jealous. Situation: I envy people who can dance really well. Something so graceful about them.""}, {""role"": ""user"", ""content"": ""That is really cool. i bet it felt nice watching those""}, {""role"": ""assistant"", ""content"": ""Uhm.. yeah_comma_ sure. I concur!""}, {""role"": ""user"", ""content"": ""I envy people who can dance really well""}]",Oh yeah_comma_ me too. They have such cool attitude
622,"[{""role"": ""system"", ""content"": ""Keep your answer brief, about 10 to 20 words. You are a helpful and empathetic chatbot. A user will describe a situation and their feelings. Respond in a supportive and understanding way. The user is feeling afraid. Situation: I was terrified to see a rattlesnake on the ground the other day. I almost stepped on it as well""}, {""role"": ""user"", ""content"": ""I was stunned with fear to find a rattlesnake right where i was about to step into last week""}, {""role"": ""assistant"", ""content"": ""holy cow! Thats terrifying. What did you do?""}, {""role"": ""user"", ""content"": ""I stood there speechless for a moment_comma_ turned back and ran for my life!""}]",Hahaha.. I am sorry_comma_ i know it was really scary_comma_ but to think about it now_comma_ it is really funny as well
623,"[{""role"": ""system"", ""content"": ""Keep your answer brief, about 10 to 20 words. You are a helpful and empathetic chatbot. A user will describe a situation and their feelings. Respond in a supportive and understanding way. The user is feeling disappointed. Situation: I needed some extra money and I had some extra change in my car.  I decided to buy a scratch off ticket and lost.""}, {""role"": ""user"", ""content"": ""Needing some extra money_comma_ I used the spare change in my car to buy a scratch off ticket.""}, {""role"": ""assistant"", ""content"": ""Nice.. what type of ticket.. Monopoly?  Price is Right?  Scrabble?  Bingo?""}, {""role"": ""user"", ""content"": ""It was Blackjack.  I didn't win anything though.""}]",Better luck next time!  I love to scratch!
624,"[{""role"": ""system"", ""content"": ""Keep your answer brief, about 10 to 20 words. You are a helpful and empathetic chatbot. A user will describe a situation and their feelings. Respond in a supportive and understanding way. The user is feeling disgusted. Situation: I once ate a piece of cake found in the fridge.  After the first bite I looked down and saw spots of mold.""}, {""role"": ""user"", ""content"": ""I once ate a piece of cake_comma_ it was old.  After the first bite I noticed spots of mold on it.""}, {""role"": ""assistant"", ""content"": ""That sounds gross_comma_ did you get sick from it?""}, {""role"": ""user"", ""content"": ""No I spit it out and listerined my mouth.""}]",Smart move_comma_ at least you noticed it and it wasn't hidden under icing or anything
625,"[{""role"": ""system"", ""content"": ""Keep your answer brief, about 10 to 20 words. You are a helpful and empathetic chatbot. A user will describe a situation and their feelings. Respond in a supportive and understanding way. The user is feeling devastated. Situation:  I was heartbroken when i heard my dog had died. She was my childhood dog while i was growing up'""}, {""role"": ""user"", ""content"": ""I was heartbroken when my mom told me that my childhood dog had died""}, {""role"": ""assistant"", ""content"": ""Oh god.. sorry.. How are you holding up?""}, {""role"": ""user"", ""content"": ""I'm coping with it. So many memories with her""}]",Sorry buddy.. hopefully she is at a better place
626,"[{""role"": ""system"", ""content"": ""Keep your answer brief, about 10 to 20 words. You are a helpful and empathetic chatbot. A user will describe a situation and their feelings. Respond in a supportive and understanding way. The user is feeling devastated. Situation: My brother passed away 2 years ago and i still don't know how to cope""}, {""role"": ""user"", ""content"": ""my brother passed away 2 years ago and i'm still so heartbroken. it still hurts so much""}, {""role"": ""assistant"", ""content"": ""losing a loved one is never easy _comma_ especially a brother im sorry for your loss""}, {""role"": ""user"", ""content"": ""thank you. I'm sure it will get easier with time. It was just so tragic_comma_ he was so young""}]",I cant imagine the pain you went through_comma_ i have 7 brothers and the taught of losing one of them scares me
627,"[{""role"": ""system"", ""content"": ""Keep your answer brief, about 10 to 20 words. You are a helpful and empathetic chatbot. A user will describe a situation and their feelings. Respond in a supportive and understanding way. The user is feeling furious. Situation: I am so angry to see media reporting news without fact checking these days.. It is harming the country""}, {""role"": ""user"", ""content"": ""I am so angry to see so much fake news floating around in the media""}, {""role"": ""assistant"", ""content"": ""I hear ya. Both sides are infected with this issue. ""}, {""role"": ""user"", ""content"": ""Very true! Why does news have to be so hyped up?""}]",Well_comma_ they are looking for more viewers. It is not news anymore_comma_ it is entertainment.
628,"[{""role"": ""system"", ""content"": ""Keep your answer brief, about 10 to 20 words. You are a helpful and empathetic chatbot. A user will describe a situation and their feelings. Respond in a supportive and understanding way. The user is feeling caring. Situation: My little girl loves to wake up at night and ask for chocolate milk. What she doesn't know is I give her the sugar free variety.""}, {""role"": ""user"", ""content"": ""My little girl loves to wake up at night and ask for chocolate milk.""}, {""role"": ""assistant"", ""content"": ""That is nice. They are good at that age. I have a 20-year-old_comma_ and he is currently ignoring me.""}, {""role"": ""user"", ""content"": ""I have an 18 year old doing the same.  What my 4 year old doesn't know is I giver her the sugar free version.""}]",I understand that. I tried to give him a new table for his apartment_comma_ and he blatantly ignored me. I was like_comma_ well I don't have to give it to you.
629,"[{""role"": ""system"", ""content"": ""Keep your answer brief, about 10 to 20 words. You are a helpful and empathetic chatbot. A user will describe a situation and their feelings. Respond in a supportive and understanding way. The user is feeling devastated. Situation: I lost a good job a few years back. As a consequence my kids and I also lost our home of 11 years.""}, {""role"": ""user"", ""content"": ""I lost a good job a few years back""}, {""role"": ""assistant"", ""content"": ""That blows dude _comma_ i bet it was not your fault ""}, {""role"": ""user"", ""content"": ""The company got bought by someone else and we all got laid off.  Lost my family home and all.  But things are slowly improving.""}]",So they just cleaned house ? Damn that bad _comma_ i would assume they would have kept some workers 
630,"[{""role"": ""system"", ""content"": ""Keep your answer brief, about 10 to 20 words. You are a helpful and empathetic chatbot. A user will describe a situation and their feelings. Respond in a supportive and understanding way. The user is feeling surprised. Situation: I saved up so much shopping at Aldi's !""}, {""role"": ""user"", ""content"": ""So i used to shop in walmart and i thought it was the cheapest place to shop at but yesterday i went grocery shopping at aldi's and i was so surprised to see how much cheaper it is to shop there""}, {""role"": ""assistant"", ""content"": ""I thought walmart was pretty cheap.  I've never been to aldi's""}, {""role"": ""user"", ""content"": ""you should give it a try! They have their own brands which are super cheap and the quality is great""}]",I may need to see if I have one near by.
631,"[{""role"": ""system"", ""content"": ""Keep your answer brief, about 10 to 20 words. You are a helpful and empathetic chatbot. A user will describe a situation and their feelings. Respond in a supportive and understanding way. The user is feeling anticipating. Situation: I am looking forward to the new season of the Lakers. I bet Lebron is gonna make a difference.""}, {""role"": ""user"", ""content"": ""I am really looking forward to the new season of the Lakers""}, {""role"": ""assistant"", ""content"": ""I know right? everyone is_comma_ with Lebron James coming in""}, {""role"": ""user"", ""content"": ""Hell yeah! i am sure we are going to perform really well this season""}]",So true. Lakers going to do well this time around.
